"","Planning_Area","Post Secondary (Polytechnic/Diploma)","Year","Education","Education_count","Housing","Housing_count","Income","Income_count"
"5369","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Others",0,"Income: $5,000 to $9,999",20700
"5370","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Others",0,"Income: $10,000 & Over",27600
"5371","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: HDB 1-3 Rooms",4000,"Income: No Working Person",2200
"5372","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: HDB 1-3 Rooms",4000,"Income: Below $1,000",600
"5373","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: HDB 1-3 Rooms",4000,"Income: $1,000 to $2,999",6400
"5374","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: HDB 1-3 Rooms",4000,"Income: $3,000 to $4,999",7300
"5375","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: HDB 1-3 Rooms",4000,"Income: $5,000 to $9,999",20700
"5376","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: HDB 1-3 Rooms",4000,"Income: $10,000 & Over",27600
"5377","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: HDB 4-5 Rooms",55500,"Income: No Working Person",2200
"5378","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: HDB 4-5 Rooms",55500,"Income: Below $1,000",600
"5379","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: HDB 4-5 Rooms",55500,"Income: $1,000 to $2,999",6400
"5380","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: HDB 4-5 Rooms",55500,"Income: $3,000 to $4,999",7300
"5381","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: HDB 4-5 Rooms",55500,"Income: $5,000 to $9,999",20700
"5382","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: HDB 4-5 Rooms",55500,"Income: $10,000 & Over",27600
"5383","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Condominiums and Other Apartments",4500,"Income: No Working Person",2200
"5384","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Condominiums and Other Apartments",4500,"Income: Below $1,000",600
"5385","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Condominiums and Other Apartments",4500,"Income: $1,000 to $2,999",6400
"5386","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Condominiums and Other Apartments",4500,"Income: $3,000 to $4,999",7300
"5387","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Condominiums and Other Apartments",4500,"Income: $5,000 to $9,999",20700
"5388","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Condominiums and Other Apartments",4500,"Income: $10,000 & Over",27600
"5389","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Landed Properties",500,"Income: No Working Person",2200
"5390","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Landed Properties",500,"Income: Below $1,000",600
"5391","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Landed Properties",500,"Income: $1,000 to $2,999",6400
"5392","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Landed Properties",500,"Income: $3,000 to $4,999",7300
"5393","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Landed Properties",500,"Income: $5,000 to $9,999",20700
"5394","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Landed Properties",500,"Income: $10,000 & Over",27600
"5395","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Others",0,"Income: No Working Person",2200
"5396","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Others",0,"Income: Below $1,000",600
"5397","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Others",0,"Income: $1,000 to $2,999",6400
"5398","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Others",0,"Income: $3,000 to $4,999",7300
"5399","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Others",0,"Income: $5,000 to $9,999",20700
"5400","Sengkang",45100,"1/1/2015","Education: University",46900,"Housing: Others",0,"Income: $10,000 & Over",27600
"5401","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: HDB 1-3 Rooms",5000,"Income: No Working Person",4500
"5402","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: HDB 1-3 Rooms",5000,"Income: Below $1,000",600
"5403","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: HDB 1-3 Rooms",5000,"Income: $1,000 to $2,999",3000
"5404","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: HDB 1-3 Rooms",5000,"Income: $3,000 to $4,999",3500
"5405","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: HDB 1-3 Rooms",5000,"Income: $5,000 to $9,999",9200
"5406","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: HDB 1-3 Rooms",5000,"Income: $10,000 & Over",18200
"5407","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: HDB 4-5 Rooms",17300,"Income: No Working Person",4500
"5408","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: HDB 4-5 Rooms",17300,"Income: Below $1,000",600
"5409","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: HDB 4-5 Rooms",17300,"Income: $1,000 to $2,999",3000
"5410","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: HDB 4-5 Rooms",17300,"Income: $3,000 to $4,999",3500
"5411","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: HDB 4-5 Rooms",17300,"Income: $5,000 to $9,999",9200
"5412","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: HDB 4-5 Rooms",17300,"Income: $10,000 & Over",18200
"5413","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Condominiums and Other Apartments",5300,"Income: No Working Person",4500
"5414","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Condominiums and Other Apartments",5300,"Income: Below $1,000",600
"5415","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Condominiums and Other Apartments",5300,"Income: $1,000 to $2,999",3000
"5416","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Condominiums and Other Apartments",5300,"Income: $3,000 to $4,999",3500
"5417","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Condominiums and Other Apartments",5300,"Income: $5,000 to $9,999",9200
"5418","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Condominiums and Other Apartments",5300,"Income: $10,000 & Over",18200
"5419","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Landed Properties",11000,"Income: No Working Person",4500
"5420","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Landed Properties",11000,"Income: Below $1,000",600
"5421","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Landed Properties",11000,"Income: $1,000 to $2,999",3000
"5422","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Landed Properties",11000,"Income: $3,000 to $4,999",3500
"5423","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Landed Properties",11000,"Income: $5,000 to $9,999",9200
"5424","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Landed Properties",11000,"Income: $10,000 & Over",18200
"5425","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Others",300,"Income: No Working Person",4500
"5426","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Others",300,"Income: Below $1,000",600
"5427","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Others",300,"Income: $1,000 to $2,999",3000
"5428","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Others",300,"Income: $3,000 to $4,999",3500
"5429","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Others",300,"Income: $5,000 to $9,999",9200
"5430","Serangoon",26100,"1/1/2015","Education: No Qualification",10600,"Housing: Others",300,"Income: $10,000 & Over",18200
"5431","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: HDB 1-3 Rooms",5000,"Income: No Working Person",4500
"5432","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: HDB 1-3 Rooms",5000,"Income: Below $1,000",600
"5433","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: HDB 1-3 Rooms",5000,"Income: $1,000 to $2,999",3000
"5434","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: HDB 1-3 Rooms",5000,"Income: $3,000 to $4,999",3500
"5435","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: HDB 1-3 Rooms",5000,"Income: $5,000 to $9,999",9200
"5436","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: HDB 1-3 Rooms",5000,"Income: $10,000 & Over",18200
"5437","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: HDB 4-5 Rooms",17300,"Income: No Working Person",4500
"5438","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: HDB 4-5 Rooms",17300,"Income: Below $1,000",600
"5439","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: HDB 4-5 Rooms",17300,"Income: $1,000 to $2,999",3000
"5440","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: HDB 4-5 Rooms",17300,"Income: $3,000 to $4,999",3500
"5441","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: HDB 4-5 Rooms",17300,"Income: $5,000 to $9,999",9200
"5442","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: HDB 4-5 Rooms",17300,"Income: $10,000 & Over",18200
"5443","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Condominiums and Other Apartments",5300,"Income: No Working Person",4500
"5444","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Condominiums and Other Apartments",5300,"Income: Below $1,000",600
"5445","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Condominiums and Other Apartments",5300,"Income: $1,000 to $2,999",3000
"5446","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Condominiums and Other Apartments",5300,"Income: $3,000 to $4,999",3500
"5447","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Condominiums and Other Apartments",5300,"Income: $5,000 to $9,999",9200
"5448","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Condominiums and Other Apartments",5300,"Income: $10,000 & Over",18200
"5449","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Landed Properties",11000,"Income: No Working Person",4500
"5450","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Landed Properties",11000,"Income: Below $1,000",600
"5451","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Landed Properties",11000,"Income: $1,000 to $2,999",3000
"5452","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Landed Properties",11000,"Income: $3,000 to $4,999",3500
"5453","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Landed Properties",11000,"Income: $5,000 to $9,999",9200
"5454","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Landed Properties",11000,"Income: $10,000 & Over",18200
"5455","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Others",300,"Income: No Working Person",4500
"5456","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Others",300,"Income: Below $1,000",600
"5457","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Others",300,"Income: $1,000 to $2,999",3000
"5458","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Others",300,"Income: $3,000 to $4,999",3500
"5459","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Others",300,"Income: $5,000 to $9,999",9200
"5460","Serangoon",26100,"1/1/2015","Education: Primary to Secondary",29200,"Housing: Others",300,"Income: $10,000 & Over",18200
"5461","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: HDB 1-3 Rooms",5000,"Income: No Working Person",4500
"5462","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: HDB 1-3 Rooms",5000,"Income: Below $1,000",600
"5463","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: HDB 1-3 Rooms",5000,"Income: $1,000 to $2,999",3000
"5464","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: HDB 1-3 Rooms",5000,"Income: $3,000 to $4,999",3500
"5465","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: HDB 1-3 Rooms",5000,"Income: $5,000 to $9,999",9200
"5466","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: HDB 1-3 Rooms",5000,"Income: $10,000 & Over",18200
"5467","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: HDB 4-5 Rooms",17300,"Income: No Working Person",4500
"5468","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: HDB 4-5 Rooms",17300,"Income: Below $1,000",600
"5469","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: HDB 4-5 Rooms",17300,"Income: $1,000 to $2,999",3000
"5470","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: HDB 4-5 Rooms",17300,"Income: $3,000 to $4,999",3500
"5471","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: HDB 4-5 Rooms",17300,"Income: $5,000 to $9,999",9200
"5472","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: HDB 4-5 Rooms",17300,"Income: $10,000 & Over",18200
"5473","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Condominiums and Other Apartments",5300,"Income: No Working Person",4500
"5474","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Condominiums and Other Apartments",5300,"Income: Below $1,000",600
"5475","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Condominiums and Other Apartments",5300,"Income: $1,000 to $2,999",3000
"5476","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Condominiums and Other Apartments",5300,"Income: $3,000 to $4,999",3500
"5477","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Condominiums and Other Apartments",5300,"Income: $5,000 to $9,999",9200
"5478","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Condominiums and Other Apartments",5300,"Income: $10,000 & Over",18200
"5479","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Landed Properties",11000,"Income: No Working Person",4500
"5480","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Landed Properties",11000,"Income: Below $1,000",600
"5481","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Landed Properties",11000,"Income: $1,000 to $2,999",3000
"5482","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Landed Properties",11000,"Income: $3,000 to $4,999",3500
"5483","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Landed Properties",11000,"Income: $5,000 to $9,999",9200
"5484","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Landed Properties",11000,"Income: $10,000 & Over",18200
"5485","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Others",300,"Income: No Working Person",4500
"5486","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Others",300,"Income: Below $1,000",600
"5487","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Others",300,"Income: $1,000 to $2,999",3000
"5488","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Others",300,"Income: $3,000 to $4,999",3500
"5489","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Others",300,"Income: $5,000 to $9,999",9200
"5490","Serangoon",26100,"1/1/2015","Education: University",32800,"Housing: Others",300,"Income: $10,000 & Over",18200
"5491","Tampines",57800,"1/1/2015","Education: No Qualification",24100,"Housing: HDB 1-3 Rooms",16100,"Income: No Working Person",5300
"5492","Tampines",57800,"1/1/2015","Education: No Qualification",24100,"Housing: HDB 1-3 Rooms",16100,"Income: Below $1,000",1400
